Observador,Decada,Sexo,Conocimiento,CirculaSinCoche,Frecuencia,DeAcuerdo,ConQFrecuencia
DC,90s,Hombre,No,A pie,diario,5,semanal
DC,90s,Hombre,No,A pie,diario,5,semanal
DC,90s,Mujer,No,Bicicleta ,de vez en cuando,5,semanal
AM,90s,Hombre,No,A pie,diario,4,mensual
AM,90s,Mujer,No,A pie,diario,5,semanal
JQ,90s,Mujer,No,A pie,diario,5,semanal
JL,90s,Hombre,No,Bicicleta ,mensual,5,semanal
AC,00s,Hombre,No,A pie,diario,5,mensual
AC,70s,Hombre,No,A pie,diario,2,mensual
AC,90s,Mujer,No,A pie,diario,2,nunca
AC,90s,Mujer,No,A pie,diario,2,nunca
AC,90s,Mujer,No,A pie,diario,1,mensual
AC,70s,Hombre,No,Bicicleta ,semanal,3,de vez en cuando
DC,70s,Mujer,No,A pie,diario,5,semanal
DC,80s,Hombre,No,A pie,diario,3,semanal
DC,90s,Hombre,No,A pie,diario,3,semanal
DC,90s,Hombre,No,A pie,diario,3,semanal
DC,90s,Hombre,No,A pie,diario,5,de vez en cuando
DC,90s,Mujer,No,A pie,diario,5,de vez en cuando
DC,90s,Hombre,No,A pie,semanal,5,semanal
DC,90s,Hombre,No,A pie,semanal,3,semanal
DC,90s,Hombre,No,A pie,semanal,5,nunca
DC,80s,Mujer,No,Bicicleta ,de vez en cuando,5,de vez en cuando
DC,90s,Mujer,No,A pie,de vez en cuando,5,semanal
AM,80s,Hombre,No,A pie,diario,1,nunca
AM,90s,Hombre,No,A pie,diario,4,de vez en cuando
AM,90s,Hombre,No,A pie,diario,4,mensual
AM,90s,Mujer,No,A pie,diario,3,nunca
AM,90s,Hombre,No,A pie,diario,3,de vez en cuando
AM,90s,Hombre,No,A pie,diario,3,de vez en cuando
AM,90s,Hombre,No,A pie,diario,5,semanal
AM,90s,Hombre,No,A pie,diario,5,mensual
AM,90s,Hombre,No,A pie,diario,2,nunca
EO,80s,Hombre,No,A pie,diario,3,semanal
EO,80s,Hombre,No,A pie,diario,3,de vez en cuando
EO,80s,Hombre,No,A pie,diario,3,de vez en cuando
EO,80s,Hombre,No,A pie,diario,3,de vez en cuando
EO,90s,Hombre,No,A pie,diario,3,de vez en cuando
EO,90s,Hombre,No,Moto,diario,3,de vez en cuando
EO,90s,Hombre,No,A pie,diario,4,nunca
EO,80s,Hombre,No,A pie,de vez en cuando,3,de vez en cuando
EO,90s,Hombre,No,A pie,de vez en cuando,3,semanal
EO,90s,Hombre,No,A pie,de vez en cuando,3,mensual
EO,90s,Mujer,No,A pie,de vez en cuando,1,nunca
JR,80s,Mujer,No,A pie,diario,1,
JR,90s,Mujer,No,Otro VehÍculo,semanal,2,mensual
JR,80s,Hombre,No,A pie,de vez en cuando,3,de vez en cuando
JA,50s,Hombre,No,Bus,diario,5,nunca
JA,60s,Hombre,No,A pie,diario,5,semanal
JA,60s,Mujer,No,A pie,diario,1,nunca
JA,80s,Hombre,No,A pie,diario,3,semanal
JA,80s,Hombre,No,A pie,diario,5,semanal
JA,80s,Hombre,No,A pie,diario,3,de vez en cuando
JA,90s,Mujer,No,A pie,diario,1,nunca
JA,90s,Hombre,No,A pie,diario,1,nunca
JA,90s,Hombre,No,A pie,diario,5,semanal
JA,90s,Hombre,No,A pie,diario,3,nunca
JL,80s,Mujer,No,A pie,diario,5,semanal
JL,90s,Mujer,No,A pie,diario,5,semanal
JL,90s,Hombre,No,A pie,diario,5,semanal
JL,90s,Hombre,No,A pie,diario,5,semanal
JL,90s,Mujer,No,A pie,diario,5,semanal
JL,90s,Mujer,No,A pie,diario,3,mensual
JL,90s,Hombre,No,A pie,diario,4,de vez en cuando
JL,90s,Hombre,No,Bicicleta y a pie,diario,5,semanal
JL,90s,Mujer,No,A pie,diario,5,mensual
JL,90s,Hombre,No,A pie,diario,5,semanal
JL,90s,Hombre,No,A pie,diario,5,semanal
JL,90s,Mujer,No,A pie,diario,5,semanal
JL,90s,Hombre,No,A pie y VehÍculo,diario,4,de vez en cuando
JL,90s,Hombre,No,A pie,diario,2,nunca
JL,90s,Mujer,No,A pie,diario,5,de vez en cuando
JL,90s,Hombre,No,Otro VehÍculo,diario,5,de vez en cuando
JL,90s,Hombre,No,Otro VehÍculo,semanal,5,semanal
JC,70s,Hombre,No,A pie,diario,1,nunca
JC,80s,Hombre,No,A pie,diario,3,de vez en cuando
JC,80s,Mujer,No,A pie,diario,5,de vez en cuando
JC,80s,Hombre,No,A pie,diario,5,semanal
JC,90s,Hombre,No,A pie,diario,3,mensual
JC,90s,Mujer,No,A pie,semanal,4,mensual
JC,80s,Mujer,No,A pie,de vez en cuando,3,nunca
JC,80s,Mujer,No,A pie,mensual,1,de vez en cuando
JC,80s,Mujer,No,A pie,mensual,1,nunca
JC,90s,Mujer,No,A pie,mensual,5,mensual
JC,80s,Mujer,No,A pie,semanal,2,mensual
LC,50s,Mujer,No,A pie,diario,3,de vez en cuando
LC,50s,Mujer,No,A pie,diario,3,mensual
LC,50s,Mujer,No,A pie,diario,4,de vez en cuando
LC,70s,Hombre,No,A pie,diario,3,de vez en cuando
LC,70s,Hombre,No,A pie,diario,4,semanal
LC,70s,Hombre,No,A pie,diario,2,semanal
LC,80s,Hombre,No,A pie,diario,1,mensual
LC,80s,Hombre,No,A pie,diario,3,de vez en cuando
LC,90s,Hombre,No,A pie,diario,2,mensual
LC,90s,Hombre,No,A pie,diario,2,mensual
LC,90s,Hombre,No,A pie,diario,3,mensual
LC,90s,Mujer,No,A pie,diario,4,mensual
LC,90s,Mujer,No,A pie,diario,4,mensual
LC,90s,Hombre,No,A pie,diario,4,de vez en cuando
LC,90s,Mujer,No,A pie,diario,2,semanal
LC,90s,Mujer,No,A pie,diario,3,semanal
LC,90s,Mujer,No,A pie,diario,1,mensual
AC,90s,Mujer,No,A pie,de vez en cuando,5,semanal
JL,90s,Hombre,No,Bicicleta y a pie,diario,5,semanal
AC,50s,Mujer,No,A pie,diario,4,de vez en cuando
AC,70s,Mujer,No,A pie,diario,4,mensual
AC,70s,Hombre,No,A pie,diario,5,semanal
AC,80s,Hombre,No,A pie,diario,4,de vez en cuando
AC,90s,Mujer,No,A pie,diario,5,semanal
AC,60s,Hombre,No,A pie,semanal,2,mensual
AC,90s,Mujer,No,A pie,semanal,2,de vez en cuando
AC,80s,Hombre,No,A pie,de vez en cuando,5,semanal
AC,80s,Hombre,No,A pie,Rara vez,4,mensual
JR,70s,Hombre,No,A pie,diario,1,
JR,80s,Hombre,No,A pie,diario,5,de vez en cuando
JR,80s,Hombre,No,A pie,diario,3,de vez en cuando
JR,80s,Mujer,No,A pie,diario,1,nunca
JR,80s,Hombre,No,A pie,diario,1,nunca
JR,80s,Mujer,No,A pie,diario,1,nunca
JR,80s,Hombre,No,A pie,diario,1,
JR,90s,Mujer,No,A pie,diario,5,de vez en cuando
JR,90s,Mujer,No,A pie,diario,5,semanal
JR,90s,Hombre,No,A pie,diario,1,de vez en cuando
JR,90s,Mujer,No,A pie,semanal,5,mensual
JR,90s,Mujer,No,A pie,semanal,5,mensual
JR,90s,Hombre,No,A pie,semanal,1,nunca
JR,90s,Hombre,No,Bicicleta ,de vez en cuando,5,mensual
JR,90s,Mujer,No,A pie,de vez en cuando,5,mensual
JR,90s,Hombre,No,Bicicleta ,mensual,5,semanal
JQ,60s,Hombre,No,A pie,diario,4,mensual
JQ,70s,Mujer,No,A pie,diario,5,mensual
JQ,80s,Mujer,No,A pie,diario,5,mensual
JQ,90s,Mujer,No,A pie,diario,4,semanal
JQ,50s,Hombre,No,A pie,semanal,3,nunca
JQ,50s,Hombre,No,A pie,semanal,3,de vez en cuando
JQ,80s,Hombre,No,Bicicleta ,de vez en cuando,4,de vez en cuando
JQ,60s,Mujer,No,A pie,semanal,4,de vez en cuando
JQ,60s,Mujer,No,A pie,semanal,4,de vez en cuando
JQ,60s,Mujer,No,A pie,semanal,4,mensual
JQ,80s,Hombre,No,A pie,semanal,4,de vez en cuando
JQ,80s,Hombre,No,Otro VehÍculo,semanal,5,semanal
JC,80s,Mujer,No,A pie,diario,5,semanal
JC,80s,Hombre,No,A pie,diario,4,de vez en cuando
JC,80s,Mujer,No,A pie,diario,5,mensual
JC,90s,Mujer,No,A pie,diario,4,de vez en cuando
JC,90s,Hombre,No,A pie,diario,5,semanal
JC,60s,Hombre,No,A pie,mensual,4,mensual
JC,90s,Hombre,No,A pie,mensual,5,de vez en cuando
JC,90s,Mujer,No,A pie,semanal,3,mensual
PC,60s,Hombre,No,A pie,diario,3,nunca
PC,60s,Mujer,No,A pie,diario,4,nunca
PC,70s,Mujer,No,A pie,diario,4,de vez en cuando
PC,70s,Hombre,No,A pie,diario,1,nunca
PC,80s,Hombre,No,A pie,diario,5,semanal
PC,80s,Hombre,No,A pie,diario,3,de vez en cuando
PC,80s,Mujer,No,A pie,diario,4,de vez en cuando
PC,80s,Hombre,No,A pie,diario,4,de vez en cuando
PC,90s,Mujer,No,A pie,diario,3,de vez en cuando
PC,90s,Hombre,No,A pie,diario,1,nunca
PC,90s,Mujer,No,A pie,diario,1,nunca
PC,90s,Hombre,No,A pie,diario,1,nunca
PC,90s,Hombre,No,Patineta,semanal,4,semanal
PC,90s,Mujer,No,A pie,semanal,4,de vez en cuando
PC,90s,Mujer,No,A pie,de vez en cuando,5,semanal
PC,90s,Hombre,No,A pie,mensual,4,de vez en cuando
PC,90s,Mujer,No,A pie,semanal,2,de vez en cuando
AC,70s,Mujer,Si,Bicicleta ,diario,5,semanal
AC,80s,Hombre,Si,A pie,diario,5,mensual
AC,90s,Hombre,Si,A pie,semanal,1,de vez en cuando
AC,90s,Mujer,Si,No Salgo,,5,semanal
DC,80s,Mujer,Si,A pie,diario,5,de vez en cuando
DC,90s,Hombre,Si,Bicicleta y a pie,diario,3,de vez en cuando
DC,90s,Hombre,Si,Bicicleta ,de vez en cuando,3,semanal
DC,90s,Hombre,Si,Bicicleta y a pie,mensual,1,de vez en cuando
AM,80s,Hombre,Si,A pie,diario,5,de vez en cuando
AM,90s,Hombre,Si,A pie,diario,5,de vez en cuando
AM,90s,Mujer,Si,A pie,diario,5,mensual
AM,90s,Hombre,Si,A pie,diario,5,semanal
AM,90s,Mujer,Si,A pie,diario,5,semanal
AM,90s,Hombre,Si,A pie,diario,5,semanal
AM,90s,Mujer,Si,A pie,diario,5,de vez en cuando
AM,90s,Mujer,Si,A pie,diario,5,de vez en cuando
AM,90s,Hombre,Si,A pie,diario,5,mensual
AM,90s,Mujer,Si,A pie,o,5,semanal
EO,90s,Mujer,Si,Bicicleta ,diario,4,semanal
EO,90s,Hombre,Si,A pie,diario,4,semanal
EO,80s,Mujer,Si,A pie,semanal,4,semanal
EO,90s,Hombre,Si,Bicicleta ,semanal,4,semanal
EO,90s,Mujer,Si,A pie,semanal,4,semanal
EO,90s,Hombre,Si,A pie,semanal,4,semanal
EO,80s,Hombre,Si,Bicicleta ,de vez en cuando,4,semanal
EO,90s,Hombre,Si,Bicicleta ,mensual,5,mensual
JR,00s,Hombre,Si,A pie,diario,5,semanal
JR,80s,Mujer,Si,A pie,semanal,5,semanal
JA,80s,Mujer,Si,A pie,diario,5,semanal
JQ,70s,Mujer,Si,A pie,diario,5,semanal
JQ,90s,Hombre,Si,A pie,diario,5,semanal
JQ,90s,Hombre,Si,Bicicleta ,diario,5,semanal
JQ,90s,Hombre,Si,A pie,diario,5,semanal
JQ,90s,Mujer,Si,A pie,diario,5,semanal
JQ,90s,Mujer,Si,A pie,diario,5,semanal
JQ,70s,Hombre,Si,A pie,de vez en cuando,4,mensual
JQ,80s,Hombre,Si,A pie,semanal,5,de vez en cuando
JQ,90s,Hombre,Si,A pie,semanal,5,mensual
JL,90s,Hombre,Si,A pie,diario,5,mensual
JC,90s,Mujer,Si,Bicicleta ,diario,4,semanal
JC,90s,Mujer,Si,Bicicleta ,diario,4,mensual
JC,90s,Mujer,Si,Bicicleta ,semanal,5,mensual
JC,90s,Hombre,Si,A pie,semanal,3,mensual
