"","region","hijos"
"1","Azuay",1.63
"2","Bolivar",2.04
"3","Cañar",1.75
"4","Carchi",1.85
"5","Cotopaxi",1.93
"6","Chimborazo",1.84
"7","El Oro",1.77
"8","Esmeraldas",2.36
"9","Guayas",1.75
"10","Imbabura",1.87
"11","Loja",1.85
"12","Los Rios",2.04
"13","Manabi",1.94
"14","Morona Santiago",2.58
"15","Napo",2.29
"16","Pastaza",2.17
"17","Pichincha",1.56
"18","Tungurahua",1.61
"19","Zamora Chinchipe",2.42
"20","Galápagos",1.69
"21","Sucumbios",2.33
"22","Orellana",2.48
"23","Santa Domingo",1.94
"24","Santa Elena",2.02
"25","Zonas No Delimitadas",2.46
