Observador,Decada,Sexo,ConoceCiclovia,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,Frecuencia,DeAcuerdo,ConQFrecuencia,Horario
DC,90s,Hombre,No,,Si,A veces,A pie,solo,A pie,diario,5,semanal,mañana
DC,90s,Hombre,No,,Si,A veces,A pie,Amigos,A pie,diario,5,semanal,mañana
DC,90s,Mujer,No,,Si,A veces,Bicicleta,Familia ,Bicicleta ,de vez en cuando,5,semanal,mañana
AM,90s,Hombre,No,Encuestador,No,A veces,A pie,Amigos,A pie,diario,4,mensual,tarde
AM,90s,Mujer,No,Encuestador,No,A veces,Bicicleta,Amigos,A pie,diario,5,semanal,mañana
JQ,90s,Mujer,No,,Si,A veces,A pie,Amigos,A pie,diario,5,semanal,mañana
JL,90s,Hombre,No,Prensa ,No,A veces,Bicicleta,Amigos,Bicicleta ,mensual,5,semanal,tarde
AC,00s,Hombre,No,,No,No,,Amigos,A pie,diario,5,mensual,mañana
AC,70s,Hombre,No,,Si,No,A pie,Familia ,A pie,diario,2,mensual,tarde
AC,90s,Mujer,No,,No,No,Otros,,A pie,diario,2,nunca,mañana
AC,90s,Mujer,No,,Si,No,Otros,,A pie,diario,2,nunca,mañana
AC,90s,Mujer,No,,No,No,A pie,Amigos,A pie,diario,1,mensual,mañana
AC,70s,Hombre,No,,Si,No,Bicicleta,solo,Bicicleta ,semanal,3,de vez en cuando,tarde
DC,70s,Mujer,No,Participante,No,No,,,A pie,diario,5,semanal,tarde
DC,80s,Hombre,No,Participante,No,No,,,A pie,diario,3,semanal,mañana
DC,90s,Hombre,No,,No,No,,,A pie,diario,3,semanal,noche
DC,90s,Hombre,No,,No,No,,,A pie,diario,3,semanal,mañana
DC,90s,Hombre,No,si,Si,No,,,A pie,diario,5,de vez en cuando,noche
DC,90s,Mujer,No,,No,No,,,A pie,diario,5,de vez en cuando,noche
DC,90s,Hombre,No,,No,No,,,A pie,semanal,5,semanal,mañana
DC,90s,Hombre,No,,No,No,,,A pie,semanal,3,semanal,mañana
DC,90s,Hombre,No,,Si,No,,,A pie,semanal,5,nunca,noche
DC,80s,Mujer,No,Participante,No,No,,,Bicicleta ,de vez en cuando,5,de vez en cuando,mañana
DC,90s,Mujer,No,,No,No,,,A pie,de vez en cuando,5,semanal,mañana
AM,80s,Hombre,No,Encuestador,No,No,,,A pie,diario,1,nunca,noche
AM,90s,Hombre,No,Encuestador,No,No,,,A pie,diario,4,de vez en cuando,tarde
AM,90s,Hombre,No,Encuestador,No,No,,,A pie,diario,4,mensual,tarde
AM,90s,Mujer,No,Encuestador,No,No,,,A pie,diario,3,nunca,mañana
AM,90s,Hombre,No,Encuestador,No,No,,,A pie,diario,3,de vez en cuando,tarde
AM,90s,Hombre,No,Encuestador,No,No,,,A pie,diario,3,de vez en cuando,mañana
AM,90s,Hombre,No,Encuestador,No,No,,,A pie,diario,5,semanal,mañana
AM,90s,Hombre,No,Encuestador,No,No,,,A pie,diario,5,mensual,mañana
AM,90s,Hombre,No,Encuestador,No,No,,,A pie,diario,2,nunca,mañana
EO,80s,Hombre,No,,No,No,,,A pie,diario,3,semanal,mañana
EO,80s,Hombre,No,,No,No,,,A pie,diario,3,de vez en cuando,tarde
EO,80s,Hombre,No,,No,No,,,A pie,diario,3,de vez en cuando,noche
EO,80s,Hombre,No,,No,No,,,A pie,diario,3,de vez en cuando,mañana
EO,90s,Hombre,No,,No,No,,,A pie,diario,3,de vez en cuando,noche
EO,90s,Hombre,No,,No,No,,,Moto,diario,3,de vez en cuando,mañana
EO,90s,Hombre,No,,No,No,,,A pie,diario,4,nunca,noche
EO,80s,Hombre,No,,No,No,,,A pie,de vez en cuando,3,de vez en cuando,tarde
EO,90s,Hombre,No,,,No,,,A pie,de vez en cuando,3,semanal,mañana
EO,90s,Hombre,No,,No,No,,,A pie,de vez en cuando,3,mensual,tarde
EO,90s,Mujer,No,,No,No,,,A pie,de vez en cuando,1,nunca,
JR,80s,Mujer,No,,,No,,,A pie,diario,1,,
JR,90s,Mujer,No,,,No,,,Otro Veh’culo,semanal,2,mensual,mañana
JR,80s,Hombre,No,,Si,No,,,A pie,de vez en cuando,3,de vez en cuando,mañana
JA,50s,Hombre,No,Municipio,Si,No,,,Bus,diario,5,nunca,mañana
JA,60s,Hombre,No,Encuestador,No,No,,,A pie,diario,5,semanal,mañana
JA,60s,Mujer,No,Taxista,Si,No,,,A pie,diario,1,nunca,
JA,80s,Hombre,No,Encuestador,No,No,,,A pie,diario,3,semanal,mañana
