Fecha,Hora,Lugar,Observador,Barrio,Decada,Sexo,Conocimiento,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,FrecSinCoche,Acuerdo,FrecFuturo,Horario
17/01/16,11h00-13h09,Parque Bolivar,E,San Pedro,80s,Mujer,Si,Boca a boca,No,No,NA,NA,A pie,NA,Total Acuerdo,NA,Tarde
17/01/2016,10h00-12h00,Parque Bolivar,D,Zamora Huayco,60s,Hombre,Si,Encuentro directo,Si,No,NA,NA,A pie,Cada día,Total desacuerdo,Nunca,NA
42386,NA,Parque Bolivar,G,Ramon Pinto,90s,Hombre,No,NA,No,No,A pie,Amigos,A pie,Cada día,Acuerdo,Mensual,Tarde
42386,NA,Parque Bolivar,G,Centro,90s,Mujer,No,NA,No,No,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Celi Roman,60s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
42386,NA,Parque Bolivar,G,Juan de Salinas,80s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Total desacuerdo,Nunca,Noche
17/01/2016,10h00-12h00,Parque Bolivar,D,Pedestal,80s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,NA,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Zona del hospital,80s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Cuarto centenario,80s,Hombre,No,NA,Si,No,NA,NA,A pie,Cada día,Ni uno ni otro,De vez en cuando,Noche
42386,NA,Parque Bolivar,G,Centro,90s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Acuerdo,De vez en cuando,Tarde
42386,NA,Parque Bolivar,G,Mercadillo,90s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Acuerdo,Mensual,Tarde
42386,NA,Parque Bolivar,G,San Jose,90s,Mujer,No,NA,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,Nunca,Mañana
42386,NA,Parque Bolivar,G,Ibarra av Universitaria,90s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,De vez en cuando,Tarde
42386,NA,Parque Bolivar,G,18 de noviembre,90s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,De vez en cuando,Mañana
42386,NA,Parque Bolivar,G,San Sebastián,90s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
42386,NA,Parque Bolivar,G,San Sebastián,90s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Total Acuerdo,Mensual,Mañana
42386,NA,Parque Bolivar,G,Centro,90s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Desacuerdo,Nunca,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Centro,90s,Mujer,No,NA,No,No,NA,NA,A pie,Cada día,Total desacuerdo,Nunca,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Julio Ordoñez,90s,Hombre,No,NA,No,No,NA,NA,A pie,Cada día,Total desacuerdo,Nunca,Mañana
42384,15h00 -17h00,Loja,J,Motupe,70s,Hombre,Si,Encuentro directo,Si,No,NA,NA,A pie,NA,Total desacuerdo,NA,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Colinas Lojanas,90s,Mujer,Si,Boca a boca,No,No,NA,NA,A pie,NA,Total Acuerdo,Mensual,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Yahuarcuna,50s,Hombre,No,Municipio,Si,No,NA,NA,Bus,Cada día,Total Acuerdo,Nunca,Mañana
42384,14:30h00-18:30h00,Supermaxi,B,Pradera,90s,Mujer,No,Municipio,No,No,NA,NA,A pie,Cada día,Total Acuerdo,Mensual,Tarde
42386,15h00 -17h00,Loja,H,Sauces,90s,Hombre,Si,Municipio,No,A veces,A pie,Sólo,A pie,Cada día,Acuerdo,NA,Mañana
42019,15h00 -17h00,Loja,I,La Banda,90s,Mujer,Si,Municipio,No,A veces,Bicicleta,Sólo,Bicicleta,Cada día,Acuerdo,NA,Mañana
42384,15h00 -17h00,Loja,J,Independencia,80s,Mujer,Si,Municipio,Si,A veces,Bicicleta,Amigos,A pie,NA,Total Acuerdo,NA,Noche
42387,15h00 -17h00,Loja,H,Las Pitas,90s,Hombre,Si,Municipio,No,A veces,Bicicleta,Sólo,A pie,NA,Acuerdo,NA,Mañana
NA,NA,NA,F,Centro,70s,Hombre,Si,Municipio,No,A veces,A pie,Sólo,A pie,De vez en cuando,Acuerdo,Mensual,Mañana
42384,15h00 -17h00,Loja,K,Urb. Caminos del Sol,80s,Hombre,Si,Municipio,Si,A veces,Bicicleta,Amigos,Bicicleta,De vez en cuando,Total Acuerdo,De vez en cuando,Noche
42387,15h00 -17h00,Loja,H,La Paz,90s,Hombre,Si,Municipio,No,A veces,Bicicleta,Familia,Bicicleta,Mensual,Total Acuerdo,Mensual,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Juan de Salinas,60s,Hombre,Si,Municipio,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,Nunca,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Julio Ordoñez,60s,Hombre,Si,Municipio,Si,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
NA,NA,NA,F,Centro,60s,Hombre,Si,Municipio,No,No,NA,NA,A pie,Cada día,Acuerdo,Mensual,Mañana
42386,NA,Parque Bolivar,G,Ramon Pinto,80s,Hombre,Si,Municipio,No,No,NA,NA,A pie,Cada día,Desacuerdo,Nunca,Noche
NA,NA,NA,F,Centro,80s,Hombre,Si,Municipio,Si,No,NA,NA,A pie,Cada día,Acuerdo,Mensual,Tarde
42386,15h00 -17h00,Loja,H,La Paz,90s,Hombre,Si,Municipio,No,No,NA,NA,A pie,Cada día,Acuerdo,De vez en cuando,Noche
42387,15h00 -17h00,Loja,H,La Banda,90s,Hombre,Si,Municipio,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,De vez en cuando,Tarde
17/01/2016,10h00-12h00,Parque Bolivar,D,Centro,90s,Hombre,Si,Municipio,Si,No,NA,NA,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Las Peñas,90s,Mujer,Si,Municipio,Si,No,NA,NA,Bus,Cada día,Acuerdo,De vez en cuando,Mañana
42019,15h00 -17h00,Loja,I,Las Pitas,90s,Mujer,Si,Municipio,No,No,NA,NA,A pie,Cada día,Desacuerdo,NA,Mañana
