"","Observador","Decada","Sexo","Conocimiento","CirculaSinCoche","Frecuencia","DeAcuerdo","ConQFrecuencia","nuevoDecada"
"1","DC","90s","Hombre","No","A pie","diario",5,"semanal","90s"
"2","DC","90s","Hombre","No","A pie","diario",5,"semanal","90s"
"3","DC","90s","Mujer","No","Bicicleta ","de vez en cuando",5,"semanal","90s"
"4","AM","90s","Hombre","No","A pie","diario",4,"mensual","90s"
"5","AM","90s","Mujer","No","A pie","diario",5,"semanal","90s"
"6","JQ","90s","Mujer","No","A pie","diario",5,"semanal","90s"
"7","JL","90s","Hombre","No","Bicicleta ","mensual",5,"semanal","90s"
"8","AC","00s","Hombre","No","A pie","diario",5,"mensual","00s"
"9","AC","70s","Hombre","No","A pie","diario",2,"mensual","70s"
"10","AC","90s","Mujer","No","A pie","diario",2,"nunca","90s"
"11","AC","90s","Mujer","No","A pie","diario",2,"nunca","90s"
"12","AC","90s","Mujer","No","A pie","diario",1,"mensual","90s"
"13","AC","70s","Hombre","No","Bicicleta ","semanal",3,"de vez en cuando","70s"
"14","DC","70s","Mujer","No","A pie","diario",5,"semanal","70s"
"15","DC","80s","Hombre","No","A pie","diario",3,"semanal","80s"
"16","DC","90s","Hombre","No","A pie","diario",3,"semanal","90s"
"17","DC","90s","Hombre","No","A pie","diario",3,"semanal","90s"
"18","DC","90s","Hombre","No","A pie","diario",5,"de vez en cuando","90s"
"19","DC","90s","Mujer","No","A pie","diario",5,"de vez en cuando","90s"
"20","DC","90s","Hombre","No","A pie","semanal",5,"semanal","90s"
"21","DC","90s","Hombre","No","A pie","semanal",3,"semanal","90s"
"22","DC","90s","Hombre","No","A pie","semanal",5,"nunca","90s"
"23","DC","80s","Mujer","No","Bicicleta ","de vez en cuando",5,"de vez en cuando","80s"
"24","DC","90s","Mujer","No","A pie","de vez en cuando",5,"semanal","90s"
"25","AM","80s","Hombre","No","A pie","diario",1,"nunca","80s"
"26","AM","90s","Hombre","No","A pie","diario",4,"de vez en cuando","90s"
"27","AM","90s","Hombre","No","A pie","diario",4,"mensual","90s"
"28","AM","90s","Mujer","No","A pie","diario",3,"nunca","90s"
"29","AM","90s","Hombre","No","A pie","diario",3,"de vez en cuando","90s"
"30","AM","90s","Hombre","No","A pie","diario",3,"de vez en cuando","90s"
"31","AM","90s","Hombre","No","A pie","diario",5,"semanal","90s"
"32","AM","90s","Hombre","No","A pie","diario",5,"mensual","90s"
"33","AM","90s","Hombre","No","A pie","diario",2,"nunca","90s"
"34","EO","80s","Hombre","No","A pie","diario",3,"semanal","80s"
"35","EO","80s","Hombre","No","A pie","diario",3,"de vez en cuando","80s"
"36","EO","80s","Hombre","No","A pie","diario",3,"de vez en cuando","80s"
"37","EO","80s","Hombre","No","A pie","diario",3,"de vez en cuando","80s"
"38","EO","90s","Hombre","No","A pie","diario",3,"de vez en cuando","90s"
"39","EO","90s","Hombre","No","Moto","diario",3,"de vez en cuando","90s"
"40","EO","90s","Hombre","No","A pie","diario",4,"nunca","90s"
"41","EO","80s","Hombre","No","A pie","de vez en cuando",3,"de vez en cuando","80s"
"42","EO","90s","Hombre","No","A pie","de vez en cuando",3,"semanal","90s"
"43","EO","90s","Hombre","No","A pie","de vez en cuando",3,"mensual","90s"
"44","EO","90s","Mujer","No","A pie","de vez en cuando",1,"nunca","90s"
"45","JR","80s","Mujer","No","A pie","diario",1,"","80s"
"46","JR","90s","Mujer","No","Otro VehÍculo","semanal",2,"mensual","90s"
"47","JR","80s","Hombre","No","A pie","de vez en cuando",3,"de vez en cuando","80s"
"48","JA","50s","Hombre","No","Bus","diario",5,"nunca","50s"
"49","JA","60s","Hombre","No","A pie","diario",5,"semanal","60s"
"50","JA","60s","Mujer","No","A pie","diario",1,"nunca","60s"
"51","JA","80s","Hombre","No","A pie","diario",3,"semanal","80s"
"52","JA","80s","Hombre","No","A pie","diario",5,"semanal","80s"
"53","JA","80s","Hombre","No","A pie","diario",3,"de vez en cuando","80s"
"54","JA","90s","Mujer","No","A pie","diario",1,"nunca","90s"
"55","JA","90s","Hombre","No","A pie","diario",1,"nunca","90s"
"56","JA","90s","Hombre","No","A pie","diario",5,"semanal","90s"
"57","JA","90s","Hombre","No","A pie","diario",3,"nunca","90s"
"58","JL","80s","Mujer","No","A pie","diario",5,"semanal","80s"
"59","JL","90s","Mujer","No","A pie","diario",5,"semanal","90s"
"60","JL","90s","Hombre","No","A pie","diario",5,"semanal","90s"
"61","JL","90s","Hombre","No","A pie","diario",5,"semanal","90s"
"62","JL","90s","Mujer","No","A pie","diario",5,"semanal","90s"
"63","JL","90s","Mujer","No","A pie","diario",3,"mensual","90s"
"64","JL","90s","Hombre","No","A pie","diario",4,"de vez en cuando","90s"
"65","JL","90s","Hombre","No","Bicicleta y a pie","diario",5,"semanal","90s"
"66","JL","90s","Mujer","No","A pie","diario",5,"mensual","90s"
"67","JL","90s","Hombre","No","A pie","diario",5,"semanal","90s"
"68","JL","90s","Hombre","No","A pie","diario",5,"semanal","90s"
"69","JL","90s","Mujer","No","A pie","diario",5,"semanal","90s"
"70","JL","90s","Hombre","No","A pie y VehÍculo","diario",4,"de vez en cuando","90s"
"71","JL","90s","Hombre","No","A pie","diario",2,"nunca","90s"
"72","JL","90s","Mujer","No","A pie","diario",5,"de vez en cuando","90s"
"73","JL","90s","Hombre","No","Otro VehÍculo","diario",5,"de vez en cuando","90s"
"74","JL","90s","Hombre","No","Otro VehÍculo","semanal",5,"semanal","90s"
"75","JC","70s","Hombre","No","A pie","diario",1,"nunca","70s"
"76","JC","80s","Hombre","No","A pie","diario",3,"de vez en cuando","80s"
"77","JC","80s","Mujer","No","A pie","diario",5,"de vez en cuando","80s"
"78","JC","80s","Hombre","No","A pie","diario",5,"semanal","80s"
"79","JC","90s","Hombre","No","A pie","diario",3,"mensual","90s"
"80","JC","90s","Mujer","No","A pie","semanal",4,"mensual","90s"
"81","JC","80s","Mujer","No","A pie","de vez en cuando",3,"nunca","80s"
"82","JC","80s","Mujer","No","A pie","mensual",1,"de vez en cuando","80s"
"83","JC","80s","Mujer","No","A pie","mensual",1,"nunca","80s"
"84","JC","90s","Mujer","No","A pie","mensual",5,"mensual","90s"
"85","JC","80s","Mujer","No","A pie","semanal",2,"mensual","80s"
"86","LC","50s","Mujer","No","A pie","diario",3,"de vez en cuando","50s"
"87","LC","50s","Mujer","No","A pie","diario",3,"mensual","50s"
"88","LC","50s","Mujer","No","A pie","diario",4,"de vez en cuando","50s"
"89","LC","70s","Hombre","No","A pie","diario",3,"de vez en cuando","70s"
"90","LC","70s","Hombre","No","A pie","diario",4,"semanal","70s"
"91","LC","70s","Hombre","No","A pie","diario",2,"semanal","70s"
"92","LC","80s","Hombre","No","A pie","diario",1,"mensual","80s"
"93","LC","80s","Hombre","No","A pie","diario",3,"de vez en cuando","80s"
"94","LC","90s","Hombre","No","A pie","diario",2,"mensual","90s"
"95","LC","90s","Hombre","No","A pie","diario",2,"mensual","90s"
"96","LC","90s","Hombre","No","A pie","diario",3,"mensual","90s"
"97","LC","90s","Mujer","No","A pie","diario",4,"mensual","90s"
"98","LC","90s","Mujer","No","A pie","diario",4,"mensual","90s"
"99","LC","90s","Hombre","No","A pie","diario",4,"de vez en cuando","90s"
"100","LC","90s","Mujer","No","A pie","diario",2,"semanal","90s"
"101","LC","90s","Mujer","No","A pie","diario",3,"semanal","90s"
"102","LC","90s","Mujer","No","A pie","diario",1,"mensual","90s"
"103","AC","90s","Mujer","No","A pie","de vez en cuando",5,"semanal","90s"
"104","JL","90s","Hombre","No","Bicicleta y a pie","diario",5,"semanal","90s"
"105","AC","50s","Mujer","No","A pie","diario",4,"de vez en cuando","50s"
"106","AC","70s","Mujer","No","A pie","diario",4,"mensual","70s"
"107","AC","70s","Hombre","No","A pie","diario",5,"semanal","70s"
"108","AC","80s","Hombre","No","A pie","diario",4,"de vez en cuando","80s"
"109","AC","90s","Mujer","No","A pie","diario",5,"semanal","90s"
"110","AC","60s","Hombre","No","A pie","semanal",2,"mensual","60s"
"111","AC","90s","Mujer","No","A pie","semanal",2,"de vez en cuando","90s"
"112","AC","80s","Hombre","No","A pie","de vez en cuando",5,"semanal","80s"
"113","AC","80s","Hombre","No","A pie","Rara vez",4,"mensual","80s"
"114","JR","70s","Hombre","No","A pie","diario",1,"","70s"
"115","JR","80s","Hombre","No","A pie","diario",5,"de vez en cuando","80s"
"116","JR","80s","Hombre","No","A pie","diario",3,"de vez en cuando","80s"
"117","JR","80s","Mujer","No","A pie","diario",1,"nunca","80s"
"118","JR","80s","Hombre","No","A pie","diario",1,"nunca","80s"
"119","JR","80s","Mujer","No","A pie","diario",1,"nunca","80s"
"120","JR","80s","Hombre","No","A pie","diario",1,"","80s"
"121","JR","90s","Mujer","No","A pie","diario",5,"de vez en cuando","90s"
"122","JR","90s","Mujer","No","A pie","diario",5,"semanal","90s"
"123","JR","90s","Hombre","No","A pie","diario",1,"de vez en cuando","90s"
"124","JR","90s","Mujer","No","A pie","semanal",5,"mensual","90s"
"125","JR","90s","Mujer","No","A pie","semanal",5,"mensual","90s"
"126","JR","90s","Hombre","No","A pie","semanal",1,"nunca","90s"
"127","JR","90s","Hombre","No","Bicicleta ","de vez en cuando",5,"mensual","90s"
"128","JR","90s","Mujer","No","A pie","de vez en cuando",5,"mensual","90s"
"129","JR","90s","Hombre","No","Bicicleta ","mensual",5,"semanal","90s"
"130","JQ","60s","Hombre","No","A pie","diario",4,"mensual","60s"
"131","JQ","70s","Mujer","No","A pie","diario",5,"mensual","70s"
"132","JQ","80s","Mujer","No","A pie","diario",5,"mensual","80s"
"133","JQ","90s","Mujer","No","A pie","diario",4,"semanal","90s"
"134","JQ","50s","Hombre","No","A pie","semanal",3,"nunca","50s"
"135","JQ","50s","Hombre","No","A pie","semanal",3,"de vez en cuando","50s"
"136","JQ","80s","Hombre","No","Bicicleta ","de vez en cuando",4,"de vez en cuando","80s"
"137","JQ","60s","Mujer","No","A pie","semanal",4,"de vez en cuando","60s"
"138","JQ","60s","Mujer","No","A pie","semanal",4,"de vez en cuando","60s"
"139","JQ","60s","Mujer","No","A pie","semanal",4,"mensual","60s"
"140","JQ","80s","Hombre","No","A pie","semanal",4,"de vez en cuando","80s"
"141","JQ","80s","Hombre","No","Otro VehÍculo","semanal",5,"semanal","80s"
"142","JC","80s","Mujer","No","A pie","diario",5,"semanal","80s"
"143","JC","80s","Hombre","No","A pie","diario",4,"de vez en cuando","80s"
"144","JC","80s","Mujer","No","A pie","diario",5,"mensual","80s"
